wellID	raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
97570.2.12.39	381443	369263	15552	328668	86.1599963846494	288290	75.5743468381753	3628	9279	53927	14.136833081048	2.82321369893023
97570.2.12.45	552850	536002	20378	474473	85.8250560297131	429836	77.7518046279428	4746	13086	50759	9.18179672560828	2.75800730494675
97570.2.12.54	507792	495738	18620	448534	88.3271973957565	403721	79.501931579802	3892	11318	45180	8.89649112072005	2.52333156460826
97570.2.12.56	595645	577768	22097	524206	88.0065803762251	449958	75.5414047484177	4676	13035	40205	6.74979537838048	2.48661785633892
97570.2.12.5	528082	512216	18243	463576	87.7824966636526	403962	76.4934865966841	4235	11580	45954	8.70193981972718	2.49797228501907
97570.2.12.60	282055	272008	10665	243836	86.4508812420105	214313	75.9837651207641	2927	6697	25366	8.99362986076206	2.74651815154448
97570.2.12.8	264256	255316	10184	224409	84.9215589982362	207085	78.3656236213917	2677	6468	28198	10.6707155822591	2.88223734342206
97570.2.13.10	383400	373609	13695	339723	88.608904618905	283249	73.8790452939791	3055	7871	27880	7.27202355689804	2.31688758194176
97570.2.13.17	872590	841978	28362	748302	85.7544025415838	675984	77.466490146287	6133	19175	53850	6.17115307792757	2.56246809443246
97570.2.13.19	317428	303243	13082	254908	80.3080530910498	233439	73.5447393524593	3241	8451	105747	33.3160442286313	3.3153137602586
97570.2.13.28	564545	549865	21131	497551	88.1272379230341	438736	77.7086188000519	4586	12898	56465	10.001518799516	2.59229707105402
97570.2.13.30	550758	530257	20929	464486	84.3357406717942	415868	75.5080575176037	4770	13597	74296	13.48956735924	2.92732181378987
97570.2.13.35	394335	382208	14873	326491	82.7946741888521	290747	73.7305075030194	3497	9473	79173	20.077480011653	2.90145823315191
97570.2.13.36	315108	300636	11592	257357	81.6716437070967	227994	72.3530968175204	3492	8114	19991	6.3441533012095	3.15281884697133
97570.2.13.40	159826	151216	6832	124905	78.1472137653334	107712	67.3892570117795	2186	4526	2646	1.65546444901439	3.62355390096473
97570.2.13.41	406242	391645	14156	349487	86.0267159485057	305866	75.2894918789232	3882	9812	54081	13.3120718272221	2.80754362823224
97570.2.13.47	360591	349805	15541	308900	85.6650747325232	268505	74.4628603079681	3937	9402	51726	14.3449534964953	3.04370346390418
97570.2.13.55	117619	112917	5181	90967	77.3406689972186	78693	66.9053786627536	1672	3270	5212	4.43153984140911	3.59471016962195
97570.2.13.56	210116	203663	8532	178310	84.8603769874086	160872	76.5612118217759	2363	5403	23663	11.2620285660622	3.03011608995569
97570.2.13.5	689183	667441	23427	596876	86.6058536263947	525250	76.2128908264339	5096	15122	91961	13.3435368252115	2.53352455116306
97570.2.14.13	503807	488409	19944	434893	86.3219121433747	380982	75.6210812793028	4540	12077	32765	6.50342072795843	2.77700491845121
97570.2.14.15	699217	681763	23430	629652	90.0511354327364	530011	75.8006142475716	4965	14325	36153	5.17053060371487	2.27506622705876
