Donor	Treatment	Wash	CBF
HBEC1	BSA	noWash	8.740830501
HBEC1	BSA	noWash	7.6165591
HBEC1	BSA	noWash	8.915229288
HBEC1	BSA	noWash	11.49670585
HBEC1	BSA	noWash	9.918731333
HBEC1	BSA	noWash	8.052971121
HBEC1	BSA	noWash	7.825265345
HBEC1	BSA	noWash	7.566284852
HBEC1	BSA	noWash	10.06648615
HBEC1	BSA	noWash	8.237121737
HBEC1	BSA	noWash	12.31381036
HBEC1	BSA	noWash	7.456987567
HBEC1	BSA	noWash	7.440260224
HBEC1	BSA	noWash	9.543630516
HBEC1	BSA	noWash	10.43646433
HBEC1	BSA	noWash	9.152904054
HBEC1	BSA	noWash	8.450140726
HBEC1	BSA	noWash	6.954115261
HBEC1	BSA	noWash	9.590456061
HBEC1	BSA	noWash	11.66483278
HBEC1	BSA	noWash	10.86693179
HBEC1	BSA	noWash	10.03172561
HBEC1	BSA	noWash	5.972226903
HBEC1	BSA	noWash	8.448182973
HBEC1	BSA	noWash	10.2235554
HBEC1	BSA	noWash	11.35589095
HBEC1	BSA	noWash	10.49498439
HBEC1	BSA	noWash	7.993538681
HBEC1	BSA	noWash	8.548739598
HBEC1	BSA	noWash	9.612529531
HBEC1	BSA	noWash	10.72813853
HBEC1	BSA	noWash	10.31677394
HBEC1	BSA	noWash	8.587350428
HBEC1	BSA	noWash	8.345985099
HBEC1	BSA	noWash	9.082284614
HBEC1	BSA	noWash	8.728134455
HBEC1	BSA	noWash	10.41834194
HBEC1	BSA	noWash	10.84051721
HBEC1	BSA	noWash	6.027520004
HBEC1	BSA	noWash	8.635297009
HBEC1	BSA	noWash	9.067541931
HBEC1	BSA	noWash	7.362078268
HBEC1	BSA	noWash	8.272047883
HBEC1	BSA	noWash	5.356573781
HBEC1	BSA	noWash	8.189864869
HBEC1	BSA	noWash	10.13493061
HBEC1	BSA	noWash	10.29999704
HBEC1	BSA	noWash	11.13030607
HBEC1	BSA	noWash	6.114871395
HBEC1	BSA	noWash	7.800817889
HBEC1	BSA	noWash	9.134447953
HBEC1	BSA	noWash	8.855090291
HBEC1	BSA	noWash	8.061866424
HBEC1	BSA	noWash	10.96752155
HBEC1	BSA	noWash	6.768044931
HBEC1	BSA	noWash	10.36708966
HBEC1	BSA	noWash	10.00547952
HBEC1	BSA	noWash	9.821964531
HBEC1	BSA	noWash	10.50737268
HBEC1	BSA	noWash	9.727114899
HBEC1	BSA	noWash	5.794994517
HBEC1	BSA	noWash	11.68293395
HBEC1	BSA	noWash	8.450748011
HBEC1	BSA	noWash	10.03827104
HBEC1	BSA	noWash	10.37703039
HBEC1	BSA	noWash	6.148401412
HBEC1	BSA	noWash	9.268865685
HBEC1	BSA	noWash	9.776215455
HBEC1	BSA	noWash	7.902743923
HBEC1	BSA	noWash	9.295508053
HBEC1	BSA	noWash	9.2374556
HBEC1	BSA	noWash	7.98925154
HBEC1	BSA	noWash	9.19283733
HBEC1	BSA	noWash	12.28549159
HBEC1	BSA	noWash	9.632029108
HBEC1	BSA	noWash	9.107925435
HBEC1	BSA	noWash	8.366212332
HBEC1	BSA	noWash	9.933047668
HBEC1	BSA	noWash	10.58608692
HBEC1	BSA	noWash	9.13641526
HBEC1	BSA	noWash	9.042382075
HBEC1	BSA	noWash	8.076865802
HBEC1	BSA	noWash	6.868363504
HBEC1	BSA	noWash	8.20149496
HBEC1	BSA	noWash	9.795286126
HBEC1	BSA	noWash	9.394667253
HBEC1	BSA	noWash	9.705669846
HBEC1	BSA	noWash	10.20514257
HBEC1	BSA	noWash	8.728052574
HBEC1	BSA	noWash	10.25221519
HBEC1	BSA	noWash	10.48140895
HBEC1	BSA	noWash	11.56651509
HBEC1	BSA	noWash	7.101338775
HBEC1	BSA	noWash	11.53062935
HBEC1	BSA	noWash	7.546457187
HBEC1	BSA	noWash	11.3617746
HBEC1	BSA	noWash	10.90078809
HBEC1	BSA	noWash	7.919694457
HBEC1	BSA	noWash	9.054385698
HBEC1	BSA	noWash	10.31080582
HBEC1	BSA	noWash	10.38999004
HBEC1	BSA	noWash	9.707960298
HBEC1	BSA	noWash	8.777037288
HBEC1	BSA	noWash	8.586139366
HBEC1	BSA	noWash	10.47540598
HBEC1	BSA	noWash	8.994241535
HBEC1	BSA	noWash	9.643475323
HBEC1	BSA	noWash	6.941904439
HBEC1	BSA	noWash	8.249257084
HBEC1	BSA	noWash	10.86355108
HBEC1	BSA	noWash	9.519415237
HBEC1	BSA	noWash	9.508265786
HBEC1	BSA	noWash	7.897289411
HBEC1	BSA	noWash	8.045623649
HBEC1	BSA	noWash	9.62239879
HBEC1	BSA	noWash	9.516939729
HBEC1	BSA	noWash	10.57458346
HBEC1	BSA	noWash	10.45324898
HBEC1	BSA	noWash	5.374348391
HBEC1	BSA	noWash	7.599526974
HBEC1	BSA	noWash	11.22845572
HBEC1	BSA	noWash	10.27565109
HBEC1	BSA	noWash	9.739809932
HBEC1	BSA	noWash	6.416697733
HBEC1	BSA	noWash	9.419659036
HBEC1	BSA	noWash	12.27125061
HBEC1	BSA	noWash	9.500710935
HBEC1	BSA	noWash	9.600910659
HBEC1	BSA	noWash	9.94071151
HBEC1	BSA	noWash	6.803505255
HBEC1	BSA	noWash	7.689119536
HBEC1	BSA	noWash	11.0217765
HBEC1	BSA	noWash	9.205062952
HBEC1	BSA	noWash	9.538358278
HBEC1	BSA	noWash	12.62865141
HBEC1	BSA	noWash	6.062113796
HBEC1	BSA	noWash	8.811478784
HBEC1	BSA	noWash	11.14178405
HBEC1	BSA	noWash	9.172427438
HBEC1	BSA	noWash	9.619646848
HBEC1	BSA	noWash	10.19002549
HBEC1	BSA	noWash	8.435168926
HBEC1	BSA	noWash	8.247356494
HBEC1	BSA	noWash	10.51372252
HBEC1	BSA	noWash	9.127586938
HBEC1	BSA	noWash	12.13726995
HBEC1	BSA	noWash	9.188063334
HBEC1	BSA	noWash	9.717195239
HBEC1	BSA	noWash	11.89478402
HBEC1	BSA	noWash	9.739510056
HBEC1	BSA	noWash	12.20879681
HBEC1	BSA	noWash	7.744251308
HBEC1	BSA	noWash	9.113244019
HBEC1	BSA	noWash	9.65544771
HBEC1	BSA	noWash	9.398842214
HBEC1	BSA	noWash	10.4080323
HBEC1	BSA	noWash	6.911765026
HBEC1	BSA	noWash	9.222173219
HBEC1	BSA	noWash	10.56270244
HBEC1	BSA	noWash	11.44480554
HBEC1	BSA	noWash	10.60548219
HBEC1	BSA	noWash	5.921196963
HBEC1	BSA	noWash	9.041266812
HBEC1	BSA	noWash	11.97499122
HBEC1	BSA	noWash	10.59222252
HBEC1	BSA	noWash	9.80171672
HBEC1	BSA	noWash	8.157826435
HBEC1	BSA	noWash	11.05334188
HBEC1	BSA	noWash	10.30149204
HBEC1	BSA	noWash	10.74997632
HBEC1	BSA	noWash	12.08541313
HBEC1	BSA	noWash	9.362592436
HBEC1	BSA	noWash	8.716049262
HBEC1	BSA	noWash	7.394733868
HBEC1	BSA	noWash	10.49959711
HBEC1	BSA	noWash	11.47791704
HBEC1	BSA	noWash	8.785345916
HBEC1	BSA	noWash	8.575103188
HBEC1	BSA	noWash	9.122198508
HBEC1	BSA	noWash	9.607595175
HBEC1	BSA	noWash	11.01408301
HBEC1	BSA	noWash	6.85434151
HBEC1	BSA	noWash	7.640357222
HBEC1	BSA	noWash	9.092824855
HBEC1	BSA	noWash	9.721663601
HBEC1	BSA	noWash	8.872221748
HBEC1	BSA	noWash	10.46518746
HBEC1	BSA	noWash	7.002060178
HBEC1	BSA	noWash	8.50913029
HBEC1	BSA	noWash	9.088208951
HBEC1	BSA	noWash	10.15031355
HBEC1	BSA	noWash	10.1544935
HBEC1	BSA	noWash	8.554253213
HBEC1	BSA	noWash	8.551457833
HBEC1	BSA	noWash	12.76027631
HBEC1	BSA	noWash	9.142618493
HBEC1	BSA	noWash	10.45779998
HBEC1	BSA	noWash	9.416183925
HBEC1	BSA	noWash	8.494396667
HBEC1	BSA	noWash	8.098709622
HBEC1	BSA	noWash	12.2101298
HBEC1	BSA	noWash	9.091845011
HBEC1	BSA	noWash	10.47958491
HBEC1	BSA	noWash	9.661312521
HBEC1	BSA	noWash	8.228031017
HBEC1	BSA	noWash	8.593884041
HBEC1	BSA	noWash	11.52859147
HBEC1	BSA	noWash	9.439125918
HBEC1	BSA	noWash	9.347270704
HBEC1	BSA	noWash	11.07220928
HBEC1	BSA	noWash	7.778010769
HBEC1	BSA	noWash	8.725508084
HBEC1	BSA	noWash	13.16645174
HBEC1	BSA	noWash	9.354255253
HBEC1	BSA	noWash	9.513340106
HBEC1	BSA	noWash	10.47836614
HBEC1	BSA	noWash	6.622738146
HBEC1	BSA	noWash	9.674930723
HBEC1	BSA	noWash	10.84338812
HBEC1	BSA	noWash	9.690331575
HBEC1	BSA	noWash	9.244113614
HBEC1	BSA	noWash	9.135036918
HBEC1	BSA	noWash	9.020329663
HBEC1	BSA	noWash	9.485846044
HBEC1	BSA	noWash	10.83202429
HBEC1	BSA	noWash	9.677363985
HBEC1	BSA	noWash	8.961229422
HBEC1	BSA	noWash	9.054591182
HBEC1	BSA	noWash	8.866055315
HBEC1	BSA	noWash	9.587311204
HBEC1	BSA	noWash	10.86616717
HBEC1	BSA	noWash	10.63576034
HBEC1	BSA	noWash	9.011581495
HBEC1	BSA	noWash	10.41730361
HBEC1	BSA	noWash	8.164287294
HBEC1	BSA	noWash	9.845025694
HBEC1	BSA	noWash	8.798750986
HBEC1	BSA	noWash	10.192489
HBEC1	BSA	noWash	10.1112738
HBEC1	BSA	noWash	7.577279139
HBEC1	BSA	noWash	9.215362193
HBEC1	BSA	noWash	8.436001463
HBEC1	BSA	noWash	8.734300171
HBEC1	BSA	noWash	9.742840514
HBEC1	BSA	noWash	8.474298903
HBEC1	BSA	noWash	9.327925964
HBEC1	BSA	noWash	13.82644541
HBEC1	BSA	noWash	11.17118971
HBEC1	BSA	noWash	10.05003543
HBEC1	BSA	noWash	8.373566251
HBEC1	BSA	noWash	7.856520081
HBEC1	BSA	noWash	11.46518351
HBEC1	BSA	noWash	9.589361415
HBEC1	BSA	noWash	10.54992676
HBEC1	BSA	noWash	16.89832188
HBEC1	BSA	noWash	8.842761523
HBEC1	BSA	noWash	11.69855446
HBEC1	BSA	noWash	9.591319468
HBEC1	BSA	noWash	10.44629871
HBEC1	BSA	noWash	8.173249091
HBEC1	BSA	noWash	9.669820447
HBEC1	BSA	noWash	11.58348054
HBEC1	BSA	noWash	9.822736423
HBEC1	BSA	noWash	10.56004056
HBEC1	BSA	noWash	7.467231522
HBEC1	BSA	noWash	9.227969548
HBEC1	BSA	noWash	9.554127955
HBEC1	BSA	noWash	10.24538492
HBEC1	BSA	noWash	9.665500901
HBEC1	BSA	noWash	7.771859544
HBEC1	BSA	noWash	9.630445002
HBEC1	BSA	noWash	9.731442927
HBEC1	BSA	noWash	9.85930573
HBEC1	BSA	noWash	9.186286089
HBEC1	BSA	noWash	6.945109132
HBEC1	BSA	noWash	8.769140026
HBEC1	BSA	noWash	11.2508032
HBEC1	BSA	noWash	9.029536337
HBEC1	BSA	noWash	9.551058417
HBEC1	BSA	noWash	8.642731723
HBEC1	BSA	noWash	7.698861701
HBEC1	BSA	noWash	7.316803097
HBEC1	BSA	noWash	10.35650356
HBEC1	BSA	noWash	8.942097686
HBEC1	BSA	noWash	9.511325398
HBEC1	BSA	noWash	9.029040719
HBEC1	BSA	noWash	7.121586035
HBEC1	BSA	noWash	8.238155742
HBEC1	BSA	noWash	10.08335967
HBEC1	BSA	noWash	8.78042607
HBEC1	BSA	noWash	10.29839445
HBEC1	BSA	noWash	11.97497243
HBEC1	BSA	noWash	9.657092687
HBEC1	BSA	noWash	8.51906942
HBEC1	BSA	noWash	9.763507447
HBEC1	BSA	noWash	10.74327219
HBEC1	BSA	noWash	9.816340696
HBEC1	BSA	noWash	9.26510774
HBEC1	BSA	noWash	9.12869912
HBEC1	BSA	noWash	10.39798817
HBEC1	BSA	noWash	12.06127874
HBEC1	BSA	noWash	9.189359208
HBEC1	BSA	noWash	9.266403758
HBEC1	BSA	noWash	13.3003032
HBEC1	BSA	noWash	10.70296089
HBEC1	BSA	noWash	11.21889205
HBEC1	BSA	noWash	9.058356357
HBEC1	BSA	noWash	9.409437447
HBEC1	BSA	noWash	11.01514973
HBEC1	BSA	noWash	9.531970071
HBEC1	BSA	noWash	11.12476045
HBEC1	BSA	noWash	10.70403794
HBEC1	BSA	noWash	8.608441313
HBEC1	BSA	noWash	9.67445324
HBEC1	BSA	noWash	10.28821292
HBEC1	BSA	noWash	10.81351322
HBEC1	BSA	noWash	9.221851629
HBEC1	BSA	noWash	8.759117615
HBEC1	BSA	noWash	9.705847565
HBEC1	BSA	noWash	10.66241105
HBEC1	BSA	noWash	10.33313756
HBEC1	BSA	noWash	10.02394511
HBEC1	BSA	noWash	7.668030849
HBEC1	BSA	noWash	10.91332996
HBEC1	BSA	noWash	9.907300742
HBEC1	BSA	noWash	9.839062235
HBEC1	BSA	noWash	11.52869405
HBEC1	BSA	noWash	7.40662361
HBEC1	BSA	noWash	10.57363648
HBEC1	BSA	noWash	13.01996256
HBEC1	BSA	noWash	10.08508282
HBEC1	BSA	noWash	9.845669526
HBEC1	BSA	noWash	10.51226979
HBEC1	BSA	noWash	11.50951473
HBEC1	BSA	noWash	9.760349876
HBEC1	BSA	noWash	10.57324487
HBEC1	BSA	noWash	9.927236765
HBEC1	BSA	noWash	8.302445397
HBEC1	BSA	noWash	11.9127579
HBEC1	BSA	noWash	10.16879311
HBEC1	BSA	noWash	9.572522864
HBEC1	BSA	noWash	9.507170705
HBEC1	BSA	noWash	8.75119798
HBEC1	BSA	noWash	7.958321917
HBEC1	BSA	noWash	12.26961155
HBEC1	BSA	noWash	8.866994085
HBEC1	BSA	noWash	9.313624279
HBEC1	BSA	noWash	6.543542089
HBEC1	BSA	noWash	8.300053905
HBEC1	BSA	noWash	10.26023044
HBEC1	BSA	noWash	8.281836639
HBEC1	BSA	noWash	9.403006801
HBEC1	BSA	noWash	6.904000962
HBEC1	BSA	noWash	8.984666625
HBEC1	BSA	noWash	10.31310946
HBEC1	BSA	noWash	10.60269978
HBEC1	BSA	noWash	9.657639112
HBEC1	BSA	noWash	8.360488956
HBEC1	BSA	noWash	9.040665757
HBEC1	BSA	noWash	10.76861886
HBEC1	BSA	noWash	10.12791427
HBEC1	BSA	noWash	10.18624704
HBEC1	BSA	noWash	9.527644837
HBEC1	BSA	noWash	8.113125449
HBEC1	BSA	noWash	9.746243643
HBEC1	BSA	noWash	8.22229212
HBEC1	BSA	noWash	10.60965791
HBEC1	BSA	noWash	9.166294782
HBEC1	BSA	noWash	8.962800159
HBEC1	BSA	noWash	9.00640274
HBEC1	BSA	noWash	9.642934199
HBEC1	BSA	noWash	10.72058203
HBEC1	BSA	noWash	14.77605369
