raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
91497.1.37.58	572486	564098	18423	505950	88.4636789399758	436453	76.3296918069315	3485	10605	36879	6.44820866048425	0.0347737039490157
91497.1.37.69	787515	776465	26411	654672	83.1720136761415	567834	72.1494771857266	4476	14426	64568	8.19247996333268	0.0370201020691712
91497.1.37.70	1031819	1015197	29059	615392	59.61576256823	552965	53.6110821012281	4510	14032	72766	7.06487816573083	0.0366603719569528
91497.1.38.11	117475	115797	3972	104536	89.0669174542419	93614	79.7868844475541	989	2375	8698	7.41747418311876	0.0384377151883379
91497.1.38.14	189146	183609	6867	164741	87.319998546231	145918	77.4292338221926	1800	4217	12400	6.60169881814798	0.0424074514424646
91497.1.38.17	84357	82506	2867	73235	86.8936229031415	67249	79.8773046857387	951	1907	5097	6.05444811408395	0.0424101572763263
91497.1.38.23	87335	85491	2925	62301	71.4823624659348	55965	64.2908629946534	799	1616	5036	5.7862196480779	0.0423929067310658
91497.1.38.30	166312	163674	6182	128202	77.1586376127371	111859	67.348709084597	1385	3295	16877	10.1639804183648	0.0433435840711754
91497.1.38.31	54152	52559	2180	42423	78.5621209757691	36017	66.7668086174274	726	1296	1619	3.0433846397551	0.0520115932771752
91497.1.38.5	78134	76619	3218	71047	91.0267051174838	62968	80.7329013453202	958	1914	5413	6.9445889511128	0.0455720770083884
91497.1.38.63	114903	112854	3880	84829	73.9259147298486	78888	68.8160389059417	900	2050	8997	7.81721274877029	0.040132615035927
91497.1.38.8	70904	69611	2893	61746	87.2353006774854	54357	76.8852813271048	840	1655	3667	5.19032658141128	0.0467218664025449
91497.1.38.9	88152	85439	3385	77078	87.5526512258106	64501	73.3477083130262	1088	2117	3722	4.24686039405268	0.0459486494042191
91497.1.3.8	95967	94071	3566	70578	73.5078909298334	64861	67.6002679305898	1011	2076	4282	4.43305417614961	0.0501049837514967
