gene	module	cor
ALG1L2	grey	0.276850805266797
ALG1L9P	turquoise	0.512795205881673
ALG2	pink	0.724509454933358
ALG3	blue	0.792505506765208
ALG5	darkred	0.737750834050952
ALG6	grey	0.100997962515176
ALG8	grey	0.0319037858202978
ALG9	grey	0.0837177446498159
ALK	turquoise	0.516624385757946
ALKBH1	grey	0.384078172655104
ALKBH2	brown	0.476440001669383
ALKBH3	brown	0.557104259016072
ALKBH4	brown	0.763442812092983
ALKBH5	turquoise	0.661441177524004
ALKBH6	grey	-0.00920641576518168
ALKBH7	purple	0.871312531260059
ALKBH8	turquoise	0.401672646231637
ALMS1	turquoise	0.794614171213088
ALMS1-IT1	grey	-0.120289657353326
ALMS1P	turquoise	0.482733727893755
ALOX12	grey	0.1122267374842
ALOX12-AS1	turquoise	0.28019906479221
ALOX12P2	green	0.775254768014675
ALOX15	skyblue	0.894753609924728
ALOX15B	grey	-0.266971441616087
ALOX15P1	skyblue	0.890020147144289
ALOX5	grey	0.77247217925528
ALOX5AP	grey	0.682093799136497
ALOXE3	grey	0.311308333969606
ALPK1	grey	0.567517279376623
ALPK3	grey	0.381136617087453
ALPL	grey	0.40101112538432
ALS2	turquoise	0.278327186263579
ALS2CL	grey	-0.0696160847695484
ALS2CR11	turquoise	0.445893003839842
ALS2CR12	turquoise	0.921414887693604
ALX4	turquoise	0.273599970014464
ALYREF	blue	0.696283711497114
AMACR	turquoise	0.317177534710951
AMBRA1	magenta	0.644431543455075
AMD1	darkmagenta	0.887278100557907
AMDHD1	grey	0.243907823220042
AMDHD2	grey	0.00667302986275813
AMER1	grey	0.513788969495067
AMFR	brown	0.713438376610406
AMH	grey	0.0197568474289282
AMICA1	skyblue3	0.879761317754082
AMIGO1	grey	-0.174891281457082
AMIGO2	turquoise	0.406826106634183
AMIGO3	grey	0.384857934789223
AMMECR1	pink	0.805605993925726
AMMECR1L	grey	0.436245516911067
AMN	grey	0.241397698707617
AMN1	turquoise	0.61874158717088
AMOT	grey	0.136733853266755
AMOTL1	red	0.843360298281027
AMOTL2	grey	0.564527841428651
AMPD1	grey	-0.360518410117884
AMPD2	grey	0.589108458167257
AMPD3	grey	0.151162693942244
AMPH	grey	-0.0474828013114373
AMT	turquoise	0.566062398458893
AMTN	grey	0.0628929335789075
AMY2B	green	0.914365256209752
AMZ1	grey	0.450855405942619
AMZ2	turquoise	0.805676724622426
AMZ2P1	turquoise	0.698390616327454
ANAPC1	turquoise	0.404402345340696
ANAPC10	grey	-0.0878712391847623
ANAPC11	purple	0.915124902690554
ANAPC13	turquoise	0.435799677281739
ANAPC15	tan	0.768773778751895
ANAPC16	turquoise	0.557199147961597
ANAPC2	grey	-0.147731815897218
ANAPC4	turquoise	0.351231358337476
ANAPC5	turquoise	0.728591817407987
ANAPC7	grey	-0.0855259264039057
ANG	grey	-0.369419171356859
ANGEL1	grey	-0.324821185158673
ANGEL2	steelblue	0.738849522923439
ANGPT1	grey	-0.32227994674288
ANGPT2	grey	-0.22274078373025
ANGPTL1	yellow	0.54757896083765
ANGPTL2	grey	0.441369842856404
ANGPTL4	darkmagenta	0.851351207238137
ANGPTL5	turquoise	0.87123671038878
ANGPTL6	grey	0.477795759638369
ANK1	grey	0.591550782899725
ANK2	grey	-0.3867841695379
ANK3	turquoise	0.716153817575259
ANKAR	turquoise	0.427336500466511
ANKDD1A	grey	0.131296919319187
ANKDD1B	turquoise	0.780680170761952
ANKEF1	turquoise	0.612027118210428
ANKFN1	turquoise	0.904308523273961
ANKFY1	grey	0.678899126383569
ANKH	red	0.74463334606585
ANKHD1	darkgreen	0.669471235486963
ANKHD1-EIF4EBP3	turquoise	0.351030822985152
ANKIB1	grey	0.319629167809739
ANKK1	turquoise	0.72352142409239
ANKLE1	grey	0.298634072186585
ANKLE2	grey	0.462310244529693
ANKMY1	turquoise	0.834927122792866
ANKMY2	turquoise	0.600257040700168
ANKRA2	turquoise	0.327788623204591
ANKRD10	grey	0.255353974456643
ANKRD11	grey	0.0189429588747887
ANKRD12	grey	0.318982534162845
ANKRD13A	grey	0.792207645926058
ANKRD13B	grey	-0.202681517109126
ANKRD13C	grey	0.120130701264335
ANKRD13D	grey	0.178571817267698
ANKRD16	turquoise	0.653810184168362
ANKRD17	grey	0.459841634637377
ANKRD18A	turquoise	0.552340573372549
ANKRD18B	turquoise	0.42251014876632
ANKRD2	grey	-0.222758296472269
ANKRD20A11P	grey	0.0236965056016122
ANKRD20A19P	turquoise	0.353246108193154
ANKRD20A4	grey	-0.148338327937622
ANKRD20A5P	grey	0.583589279879697
ANKRD20A8P	grey	-0.321116334886497
ANKRD20A9P	grey	0.183812277287531
ANKRD22	paleturquoise	0.881221389766584
ANKRD23	green	0.83748212126155
ANKRD24	turquoise	0.679227840477672
ANKRD26	turquoise	0.702704341833309
ANKRD27	grey	-0.0576978181794374
ANKRD28	turquoise	0.571565886212804
ANKRD29	grey	-0.286511894190077
ANKRD31	turquoise	0.775375561224755
ANKRD33B	grey	0.621761909552325
ANKRD34A	grey	-0.221426824071842
ANKRD35	turquoise	0.665028313374313
ANKRD36	grey	0.458697354999074
ANKRD36B	grey	0.516248421346673
ANKRD36BP2	grey	0.332700515156137
ANKRD36C	grey	0.589011644849316
ANKRD37	turquoise	0.639149055348141
ANKRD39	blue	0.579541210797944
ANKRD40	grey	0.37405527330198
ANKRD42	turquoise	0.878427788621489
ANKRD44	grey	0.699150751943161
ANKRD44-IT1	grey	0.455886422232115
ANKRD45	turquoise	0.770550105538102
ANKRD46	steelblue	0.712878096867908
ANKRD49	darkgreen	0.77880829882983
ANKRD50	yellow	0.741193150927449
ANKRD52	grey	0.418089651997306
ANKRD53	turquoise	0.68759094318414
ANKRD54	turquoise	0.781740018447302
ANKRD55	grey	0.0870539402093855
ANKRD6	turquoise	0.579279618760855
ANKRD62	grey	-0.35248801517634
ANKRD65	turquoise	0.607401754547345
ANKRD66	turquoise	0.918119573998406
ANKRD7	turquoise	0.54705037844317
ANKRD9	darkred	0.757360333248066
ANKS1A	turquoise	0.677732444354909
ANKS1B	orangered4	0.760295468769741
ANKS3	white	0.765328568571182
ANKS6	brown	0.631991816130068
ANKUB1	turquoise	0.925496317120395
ANKZF1	turquoise	0.588463221400369
ANLN	darkgrey	0.893670369607933
ANO1	orange	0.821087908482315
ANO10	darkred	0.769980422217498
ANO2	grey	0.0777114420648203
ANO3	turquoise	0.568966668527823
ANO4	turquoise	0.313956528596605
ANO5	grey	0.14041436706073
ANO6	grey	0.0115420971857803
ANO7	grey	-0.249732629784592
ANO8	grey	0.325633867121503
ANO9	green	0.729840157302806
ANOS1	red	0.779875907509084
ANP32A	grey	-0.237309701140101
ANP32A-IT1	grey	0.0234880431836846
ANP32AP1	grey	-0.0357633714705332
ANP32B	magenta	0.601539489577943
ANP32C	grey	0.142120975055213
ANP32E	darkturquoise	0.743020819280283
ANPEP	grey	-0.100037720388204
ANTXR1	grey	-0.0750403946182629
ANTXR2	grey	0.419434150562377
ANXA1	grey	0.186692395521268
ANXA11	grey	0.295314999729989
ANXA2	grey	0.0593724397241763
ANXA2P1	grey	0.0613000223058979
ANXA2P2	grey	0.0752667230728525
ANXA2P3	grey	0.0786499358206023
ANXA2R	grey	0.421806079796321
ANXA3	grey	0.451250751350674
ANXA4	grey	0.299186423743248
